"AOA","CM"
"7.400000","-0.054000"
"7.500000","-0.053700"
"7.600000","-0.053500"
"7.700000","-0.053400"
"7.800000","-0.053200"
"7.900000","-0.053100"
"8.000000","-0.042000"
"8.100000","-0.052900"
"8.300000","-0.051800"
"8.400000","-0.051600"
"8.500000","-0.051500"
"8.600000","-0.051300"
"8.700000","-0.051200"
"8.800000","-0.051100"
"8.900000","-0.051000"
"9.000000","-0.050900"
"9.100000","-0.050800"
"9.200000","-0.050600"
"9.300000","-0.050500"
"9.400000","-0.050400"
"9.500000","-0.050300"
"9.600000","-0.050200"
"9.700000","-0.050000"
"9.800000","-0.049900"
"9.900000","-0.049800"
"10.000000","-0.049600"
"10.100000","-0.049500"
"10.200000","-0.049300"
"10.300000","-0.049200"
"10.400000","-0.049000"
"10.500000","-0.048900"
"10.600000","-0.049000"
"10.700000","-0.048800"
"10.800000","-0.048700"
"10.900000","-0.048500"
"11.000000","-0.048300"
"11.100000","-0.048100"
"11.200000","-0.047900"
"11.300000","-0.047700"
"11.400000","-0.047500"
"11.500000","-0.047300"
"11.600000","-0.047000"
"11.700000","-0.046800"
"11.800000","-0.046500"
"11.900000","-0.046200"
"12.000000","-0.045900"
"12.100000","-0.045600"
"12.200000","-0.045300"
"12.300000","-0.045000"
"12.400000","-0.044700"
"12.500000","-0.044300"
"12.600000","-0.043900"
"12.700000","-0.043600"
"12.800000","-0.043100"
"12.900000","-0.042700"
"13.000000","-0.042300"
"13.100000","-0.041800"
"13.200000","-0.041100"
"13.300000","-0.040400"
"13.400000","-0.039600"
"13.500000","-0.038900"
"13.600000","-0.038100"
"13.700000","-0.037400"
"13.800000","-0.036700"
"13.900000","-0.036000"
"14.000000","-0.035300"
"14.100000","-0.034600"
"14.200000","-0.033800"
"14.300000","-0.032800"
"14.400000","-0.031400"
"14.500000","-0.030300"
"14.600000","-0.029400"
"14.700000","-0.028600"
"14.800000","-0.027800"
"14.900000","-0.027000"
"15.000000","-0.026200"
"15.100000","-0.025200"
"15.200000","-0.024000"
"15.300000","-0.023300"
"15.400000","-0.022600"
"15.500000","-0.022000"
"15.800000","-0.019400"
"15.900000","-0.018600"
"16.100000","-0.017100"
"16.200001","-0.016300"
"16.299999","-0.015100"
"16.400000","-0.014400"
"16.500000","-0.013800"
"16.600000","-0.013200"
"16.700001","-0.012700"
"16.799999","-0.012200"
