"AOA","CD"
"4.400000","0.008530"
"4.500000","0.008530"
"4.600000","0.008510"
"4.700000","0.008470"
"4.800000","0.008500"
"4.900000","0.008370"
"5.000000","0.008380"
"5.100000","0.008320"
"5.200000","0.008270"
"5.300000","0.008300"
"5.400000","0.008300"
"5.500000","0.008210"
"5.600000","0.008160"
"5.700000","0.008000"
"5.800000","0.007910"
"5.900000","0.007870"
"6.000000","0.007930"
"6.100000","0.007990"
"6.200000","0.008050"
"6.300000","0.008110"
"6.400000","0.008170"
"6.500000","0.008240"
"6.600000","0.008300"
"6.700000","0.008360"
"6.800000","0.008420"
"6.900000","0.008490"
"7.000000","0.008550"
"7.100000","0.008600"
"7.200000","0.008660"
"7.300000","0.008720"
"7.400000","0.008780"
"7.500000","0.008840"
"7.600000","0.008900"
"7.700000","0.008960"
"7.800000","0.009030"
"7.900000","0.009090"
"8.000000","0.016820"
"8.100000","0.009230"
"8.300000","0.009910"
"8.400000","0.010020"
"8.500000","0.010130"
"8.600000","0.010230"
"8.700000","0.010330"
"8.800000","0.010430"
"8.900000","0.010530"
"9.000000","0.010630"
"9.100000","0.010740"
"9.200000","0.010840"
"9.300000","0.010940"
"9.400000","0.011040"
"9.500000","0.011150"
"9.600000","0.011250"
"9.700000","0.011360"
"9.800000","0.011470"
"9.900000","0.011580"
"10.000000","0.011690"
"10.100000","0.011800"
"10.200000","0.011910"
"10.300000","0.012030"
"10.400000","0.012140"
"10.500000","0.012260"
"10.600000","0.012230"
"10.700000","0.012340"
"10.800000","0.012450"
"10.900000","0.012570"
"11.000000","0.012690"
"11.100000","0.012820"
"11.200000","0.012950"
"11.300000","0.013080"
"11.400000","0.013210"
"11.500000","0.013350"
"11.600000","0.013490"
"11.700000","0.013630"
"11.800000","0.013770"
"11.900000","0.013920"
"12.000000","0.014070"
"12.100000","0.014220"
"12.200000","0.014380"
"12.300000","0.014530"
"12.400000","0.014690"
"12.500000","0.014860"
"12.600000","0.015020"
"12.700000","0.015200"
"12.800000","0.015370"
"12.900000","0.015550"
"13.000000","0.015730"
"13.100000","0.015910"
"13.200000","0.016100"
"13.300000","0.016300"
"13.400000","0.016500"
"13.500000","0.016700"
"13.600000","0.016920"
"13.700000","0.017130"
"13.800000","0.017360"
"13.900000","0.017590"
"14.000000","0.017820"
"14.100000","0.018070"
"14.200000","0.018320"
"14.300000","0.018570"
"14.400000","0.018880"
"14.500000","0.019200"
"14.600000","0.019520"
"14.700000","0.019840"
"14.800000","0.020180"
"14.900000","0.020520"
"15.000000","0.020880"
"15.100000","0.021380"
"15.200000","0.021990"
"15.300000","0.022440"
"15.400000","0.022860"
"15.500000","0.023280"
"15.800000","0.025150"
"15.900000","0.025800"
"16.100000","0.027090"
"16.200001","0.027770"
"16.299999","0.029230"
"16.400000","0.030120"
"16.500000","0.030920"
"16.600000","0.031710"
"16.700001","0.032520"
"16.799999","0.033350"
"16.900000","0.034240"
"17.000000","0.035210"
"17.100000","0.036270"
"17.200001","0.038950"
"17.299999","0.040200"
"17.400000","0.041360"
"17.500000","0.042510"
"17.600000","0.043670"
"17.799999","0.046250"
"17.900000","0.047790"
"18.000000","0.051850"
"18.100000","0.053600"
"18.200001","0.055170"
"18.299999","0.056760"
"18.400000","0.058400"
"18.600000","0.062240"
"19.100000","0.076310"
"19.500000","0.092560"
"19.600000","0.095030"
"20.799999","0.139780"
"21.000000","0.148320"
"22.000000","0.074944"
"23.000000","0.086795"
"24.000000","0.100064"
"25.000000","0.114787"
"26.000000","0.130986"
"27.000000","0.148665"
"28.000000","0.167817"
"29.000000","0.188417"
"30.000000","0.210431"
"31.000000","0.233809"
"32.000000","0.258494"
"33.000000","0.284420"
"34.000000","0.311513"
"35.000000","0.339694"
"36.000000","0.368881"
"37.000000","0.398988"
"38.000000","0.429930"
"39.000000","0.461620"
"40.000000","0.493971"
"41.000000","0.526898"
"42.000000","0.560320"
"43.000000","0.594154"
"44.000000","0.628322"
"45.000000","0.662749"
"46.000000","0.697363"
"47.000000","0.732093"
"48.000000","0.766872"
"49.000000","0.801637"
"50.000000","0.836326"
"51.000000","0.870879"
"52.000000","0.905242"
"53.000000","0.939361"
"54.000000","0.973183"
"55.000000","1.006661"
"56.000000","1.039746"
"57.000000","1.072393"
"58.000000","1.104560"
"59.000000","1.136205"
"60.000000","1.167288"
"61.000000","1.197770"
"62.000000","1.227615"
"63.000000","1.256788"
"64.000000","1.285256"
"65.000000","1.312985"
"66.000000","1.339945"
"67.000000","1.366106"
"68.000000","1.391439"
"69.000000","1.415918"
"70.000000","1.439517"
"71.000000","1.462211"
"72.000000","1.483977"
"73.000000","1.504793"
"74.000000","1.524637"
"75.000000","1.543491"
"76.000000","1.561336"
"77.000000","1.578155"
"78.000000","1.593931"
"79.000000","1.608651"
"80.000000","1.622301"
"81.000000","1.634869"
"82.000000","1.646344"
"83.000000","1.656717"
"84.000000","1.665980"
"85.000000","1.674124"
"86.000000","1.681147"
"87.000000","1.687041"
"88.000000","1.691806"
"89.000000","1.695438"
"90.000000","1.697938"
"91.000000","1.699306"
"92.000000","1.699546"
"93.000000","1.698659"
"94.000000","1.696652"
"95.000000","1.693530"
"96.000000","1.689301"
"97.000000","1.683972"
"98.000000","1.677556"
"99.000000","1.670062"
"100.000000","1.661502"
"101.000000","1.651892"
"102.000000","1.641245"
"103.000000","1.629578"
"104.000000","1.616908"
"105.000000","1.603253"
"106.000000","1.588634"
"107.000000","1.573070"
"108.000000","1.556584"
"109.000000","1.539198"
"110.000000","1.520936"
"111.000000","1.501824"
"112.000000","1.481886"
"113.000000","1.461151"
"114.000000","1.439644"
"115.000000","1.417396"
"116.000000","1.394436"
"117.000000","1.370793"
"118.000000","1.346500"
"119.000000","1.321587"
"120.000000","1.296087"
"121.000000","1.270033"
"122.000000","1.243460"
"123.000000","1.216400"
"124.000000","1.188890"
"125.000000","1.160964"
"126.000000","1.132659"
"127.000000","1.104010"
"128.000000","1.075054"
"129.000000","1.045828"
"130.000000","1.016369"
"131.000000","0.986715"
"132.000000","0.956902"
"133.000000","0.926969"
"134.000000","0.896954"
"135.000000","0.866893"
"136.000000","0.836826"
"137.000000","0.806789"
"138.000000","0.776821"
