"AOA","CL"
"14.100000","1.641300"
"14.200000","1.646500"
"14.300000","1.650300"
"14.400000","1.651500"
"14.500000","1.654000"
"14.600000","1.657700"
"14.700000","1.661800"
"14.800000","1.666100"
"14.900000","1.670400"
"15.000000","1.674500"
"15.100000","1.675500"
"15.200000","1.674800"
"15.300000","1.678100"
"15.400000","1.682000"
"15.500000","1.686200"
"15.800000","1.690800"
"15.900000","1.692200"
"16.100000","1.695000"
"16.200001","1.695400"
"16.299999","1.684500"
"16.400000","1.683000"
"16.500000","1.683300"
"16.600000","1.683900"
"16.700001","1.684500"
"16.799999","1.685100"
"16.900000","1.685300"
"17.000000","1.684800"
"17.100000","1.683600"
"17.200001","1.669300"
"17.299999","1.667300"
"17.400000","1.666100"
"17.500000","1.664800"
"17.600000","1.663600"
"17.799999","1.659100"
"17.900000","1.655100"
"18.000000","1.636000"
"18.100000","1.631000"
"18.200001","1.626900"
"18.299999","1.622600"
"18.400000","1.618100"
"18.600000","1.606000"
"19.100000","1.547800"
"19.500000","1.483300"
"19.600000","1.475200"
"20.799999","1.315800"
"21.000000","1.287400"
"22.000000","2.170283"
"23.000000","2.208217"
"24.000000","2.240553"
"25.000000","2.267451"
"26.000000","2.289118"
"27.000000","2.305805"
"28.000000","2.317798"
"29.000000","2.325405"
"30.000000","2.328954"
"31.000000","2.328780"
"32.000000","2.325218"
"33.000000","2.318598"
"34.000000","2.309238"
"35.000000","2.297439"
"36.000000","2.283484"
"37.000000","2.267632"
"38.000000","2.250119"
"39.000000","2.231158"
"40.000000","2.210936"
"41.000000","2.189616"
"42.000000","2.167341"
"43.000000","2.144231"
"44.000000","2.120386"
"45.000000","2.095890"
"46.000000","2.070807"
"47.000000","2.045192"
"48.000000","2.019083"
"49.000000","1.992508"
"50.000000","1.965488"
"51.000000","1.938032"
"52.000000","1.910146"
"53.000000","1.881828"
"54.000000","1.853073"
"55.000000","1.823873"
"56.000000","1.794215"
"57.000000","1.764088"
"58.000000","1.733477"
"59.000000","1.702368"
"60.000000","1.670746"
"61.000000","1.638597"
"62.000000","1.605908"
"63.000000","1.572668"
"64.000000","1.538865"
"65.000000","1.504490"
"66.000000","1.469536"
"67.000000","1.433999"
"68.000000","1.397874"
"69.000000","1.361161"
"70.000000","1.323861"
"71.000000","1.285978"
"72.000000","1.247517"
"73.000000","1.208486"
"74.000000","1.168897"
"75.000000","1.128761"
"76.000000","1.088093"
"77.000000","1.046911"
"78.000000","1.005235"
"79.000000","0.963086"
"80.000000","0.920487"
"81.000000","0.877465"
"82.000000","0.834047"
"83.000000","0.790264"
"84.000000","0.746146"
"85.000000","0.701727"
"86.000000","0.657042"
"87.000000","0.612128"
"88.000000","0.567023"
"89.000000","0.521767"
"90.000000","0.476400"
"91.000000","0.430964"
"92.000000","0.385504"
"93.000000","0.340064"
"94.000000","0.294689"
"95.000000","0.249425"
"96.000000","0.204319"
"97.000000","0.159419"
"98.000000","0.114774"
"99.000000","0.070432"
"100.000000","0.026442"
"101.000000","-0.242614"
"102.000000","-0.280728"
"103.000000","-0.318476"
"104.000000","-0.355804"
"105.000000","-0.392659"
"106.000000","-0.428987"
"107.000000","-0.464736"
"108.000000","-0.499853"
"109.000000","-0.534288"
"110.000000","-0.567990"
"111.000000","-0.600911"
"112.000000","-0.633002"
"113.000000","-0.664216"
"114.000000","-0.694507"
"115.000000","-0.723831"
"116.000000","-0.752146"
"117.000000","-0.779409"
"118.000000","-0.805581"
"119.000000","-0.830624"
"120.000000","-0.854502"
"121.000000","-0.877179"
"122.000000","-0.898623"
"123.000000","-0.918805"
"124.000000","-0.937694"
"125.000000","-0.955265"
"126.000000","-0.971494"
"127.000000","-0.986358"
"128.000000","-0.999838"
"129.000000","-1.011916"
"130.000000","-1.022578"
"131.000000","-1.031810"
"132.000000","-1.039603"
"133.000000","-1.045949"
"134.000000","-1.050843"
"135.000000","-1.054282"
"136.000000","-1.056268"
"137.000000","-1.056802"
"138.000000","-1.055891"
"139.000000","-1.053542"
"140.000000","-1.049768"
"141.000000","-1.044582"
"142.000000","-1.038002"
"143.000000","-1.030048"
"144.000000","-1.020744"
"145.000000","-1.010118"
"146.000000","-0.998202"
"147.000000","-0.985031"
"148.000000","-0.970647"
"149.000000","-0.955100"
"150.000000","-0.938444"
"151.000000","-0.920746"
"152.000000","-0.902086"
"153.000000","-0.882563"
"154.000000","-0.862302"
"155.000000","-0.841465"
"156.000000","-0.820275"
"157.000000","-0.799039"
"158.000000","-0.778206"
"159.000000","-0.758454"
"160.000000","-0.740839"
"161.000000","-0.727066"
"162.000000","-0.719954"
"163.000000","-0.724184"
"164.000000","-0.747209"
"165.000000","-0.798989"
"166.000000","-0.885264"
"167.000000","-0.986869"
"168.000000","-1.047906"
"169.000000","-1.029738"
"170.000000","-0.956804"
"171.000000","-0.868213"
"172.000000","-0.778671"
"173.000000","-0.689128"
"174.000000","-0.599586"
"175.000000","-0.510044"
"176.000000","-0.420501"
"177.000000","-0.330959"
"178.000000","-0.241417"
"179.000000","-0.151874"
"180.000000","-0.062332"
