"AOA","CL"
"45.000000","1.334303"
"46.000000","1.316692"
"47.000000","1.299174"
"48.000000","1.281701"
"49.000000","1.264221"
"50.000000","1.246687"
"51.000000","1.229050"
"52.000000","1.211267"
"53.000000","1.193293"
"54.000000","1.175088"
"55.000000","1.156614"
"56.000000","1.137837"
"57.000000","1.118724"
"58.000000","1.099246"
"59.000000","1.079376"
"60.000000","1.059090"
"61.000000","1.038369"
"62.000000","1.017193"
"63.000000","0.995547"
"64.000000","0.973418"
"65.000000","0.950795"
"66.000000","0.927672"
"67.000000","0.904042"
"68.000000","0.879901"
"69.000000","0.855249"
"70.000000","0.830087"
"71.000000","0.804417"
"72.000000","0.778246"
"73.000000","0.751579"
"74.000000","0.724425"
"75.000000","0.696795"
"76.000000","0.668702"
"77.000000","0.640159"
"78.000000","0.611182"
"79.000000","0.581788"
"80.000000","0.551994"
"81.000000","0.521822"
"82.000000","0.491293"
"83.000000","0.460428"
"84.000000","0.429252"
"85.000000","0.397789"
"86.000000","0.366066"
"87.000000","0.334110"
"88.000000","0.301949"
"89.000000","0.269611"
"90.000000","0.237128"
"91.000000","0.204529"
"92.000000","0.171846"
"93.000000","0.139111"
"94.000000","0.106359"
"95.000000","0.073621"
"96.000000","0.040932"
"97.000000","0.008327"
"98.000000","-0.024159"
"99.000000","-0.056491"
"100.000000","-0.088633"
"101.000000","-0.120549"
"102.000000","-0.152203"
"103.000000","-0.183558"
"104.000000","-0.283311"
"105.000000","-0.312316"
"106.000000","-0.340964"
"107.000000","-0.369216"
"108.000000","-0.397035"
"109.000000","-0.424382"
"110.000000","-0.451221"
"111.000000","-0.477515"
"112.000000","-0.503227"
"113.000000","-0.528321"
"114.000000","-0.552763"
"115.000000","-0.576519"
"116.000000","-0.599553"
"117.000000","-0.621834"
"118.000000","-0.643329"
"119.000000","-0.664006"
"120.000000","-0.683837"
"121.000000","-0.702790"
"122.000000","-0.720839"
"123.000000","-0.737956"
"124.000000","-0.754114"
"125.000000","-0.769290"
"126.000000","-0.783460"
"127.000000","-0.796601"
"128.000000","-0.808692"
"129.000000","-0.819716"
"130.000000","-0.829652"
"131.000000","-0.838486"
"132.000000","-0.846202"
"133.000000","-0.852787"
"134.000000","-0.858229"
"135.000000","-0.862519"
"136.000000","-0.865648"
"137.000000","-0.867611"
"138.000000","-0.868403"
"139.000000","-0.868021"
"140.000000","-0.866465"
"141.000000","-0.863738"
"142.000000","-0.859842"
"143.000000","-0.854784"
"144.000000","-0.848574"
"145.000000","-0.841222"
"146.000000","-0.832744"
"147.000000","-0.823158"
"148.000000","-0.812486"
"149.000000","-0.800755"
"150.000000","-0.787997"
"151.000000","-0.774251"
"152.000000","-0.759565"
"153.000000","-0.743999"
"154.000000","-0.727628"
"155.000000","-0.710547"
"156.000000","-0.692881"
"157.000000","-0.674801"
"158.000000","-0.656537"
"159.000000","-0.638420"
"160.000000","-0.620931"
"161.000000","-0.604790"
"162.000000","-0.591106"
"163.000000","-0.581621"
"164.000000","-0.579095"
"165.000000","-0.587817"
"166.000000","-0.613889"
"167.000000","-0.663662"
"168.000000","-0.736217"
"169.000000","-0.808624"
"170.000000","-0.837585"
"171.000000","-0.802377"
"172.000000","-0.725332"
"173.000000","-0.635566"
"174.000000","-0.544767"
"175.000000","-0.453968"
"176.000000","-0.363169"
"177.000000","-0.272370"
"178.000000","-0.181571"
"179.000000","-0.090772"
"180.000000","0.000027"
